20200518  10:34:00,1.34,1.35,1.34,1.34,388
20200518  10:35:00,1.3403,1.35,1.33,1.335,413
20200518  10:36:00,1.335,1.34,1.32,1.325,792
20200518  10:37:00,1.329,1.33,1.32,1.3201,589
20200518  10:38:00,1.32,1.33,1.31,1.3101,749
20200518  10:39:00,1.31,1.32,1.31,1.31,232
20200518  10:40:00,1.315,1.32,1.31,1.31,314
20200518  10:41:00,1.315,1.32,1.31,1.3199,514
20200518  10:42:00,1.3101,1.32,1.31,1.31,402
20200518  10:43:00,1.315,1.33,1.31,1.325,728
20200518  10:44:00,1.325,1.33,1.32,1.32,216
20200518  10:45:00,1.3299,1.33,1.32,1.3201,540
20200518  10:46:00,1.325,1.33,1.32,1.32,186
20200518  10:47:00,1.33,1.33,1.32,1.33,400
20200518  10:48:00,1.33,1.33,1.31,1.3155,366
20200518  10:49:00,1.315,1.32,1.31,1.3199,212
20200518  10:50:00,1.3199,1.32,1.31,1.3199,377
20200518  10:51:00,1.315,1.32,1.31,1.31,505
20200518  10:52:00,1.315,1.315,1.3,1.3079,672
20200518  10:53:00,1.3099,1.31,1.3,1.3,267
20200518  10:54:00,1.3,1.31,1.29,1.3,3087
20200518  10:55:00,1.2901,1.3,1.29,1.29,390
20200518  10:56:00,1.295,1.32,1.29,1.3039,1138
20200518  10:57:00,1.31,1.31,1.3001,1.305,152
20200518  10:58:00,1.305,1.32,1.3002,1.315,237
20200518  10:59:00,1.3131,1.3199,1.3,1.305,342
20200518  11:00:00,1.305,1.31,1.3,1.305,281
20200518  11:01:00,1.31,1.31,1.3,1.3,272
20200518  11:02:00,1.305,1.3099,1.29,1.29,748
20200518  11:03:00,1.2999,1.3,1.29,1.29,628
20200518  11:04:00,1.2901,1.3,1.28,1.2801,876
20200518  11:05:00,1.28,1.29,1.28,1.285,417
20200518  11:06:00,1.28,1.3,1.28,1.2901,661
20200518  11:07:00,1.2999,1.3,1.29,1.29,423
20200518  11:08:00,1.3,1.3,1.29,1.3,359
20200518  11:09:00,1.2999,1.31,1.29,1.31,219
20200518  11:10:00,1.305,1.32,1.305,1.32,221
20200518  11:11:00,1.315,1.32,1.31,1.315,840
20200518  11:12:00,1.315,1.33,1.31,1.3184,376
20200518  11:13:00,1.315,1.32,1.31,1.315,208
20200518  11:14:00,1.315,1.32,1.31,1.315,250
20200518  11:15:00,1.315,1.32,1.31,1.32,126
